Pressure,Pressure Coefficient,Dynamic Pressure,Temperature,Density,Dynamic Viscosity,Effective Viscosity,Eddy Viscosity,Thermal Conductivity,Effective Thermal Conductivity,Prandtl Number,Effective Prandtl Number,R Gas Constant,Specific Heat Capacity,Static Enthalpy,Entropy,Total Energy,Speed Of Sound,Velocity (mwa),Density (mwa),Mach Number (mwa),Total Pressure (mwa),Total Temperature (mwa),Total Enthalpy (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Velocity Circumferential (mwa),Dp Dx,Dp Dy,Dp Dz,Vorticity X,Vorticity Y,Vorticity Z,Vorticity Magnitude,Q Criterion Normalized,Q Criterion Raw,Lambda 2 Criterion,Helicity,Turbulence Kinetic Energy,Turbulence Eddy Frequency,Turbulence Eddy Dissipation,Turbulence Intensity,Wall Shear,Wall Shear X,Wall Shear Y,Wall Shear Z,Wall Temperature,Wall Adjacent Temperature,Heat Flux,X,Y,Z,Angular Coordinate,Radial Angular Coordinate,Radial Angular Coordinate,Velocity Circumferential (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Relative Total Pressure (mwa),Rothalpy (mwa),mdot
6262185,10223976,777958.9375,237.106018066406,68.5231170654297,1.11830013338476e-05,0.0246446989476681,0.0246335156261921,0.0359160974621773,101.106094360352,1.08548390865326,0.85018265247345,518.268188476562,3486.2177734375,668564.5625,3706.57397460938,588527.5625,363.279144287109,205.264709472656,68.5300674438477,0.415318220853806,7079516,251.802017211914,679958.25,-37.9481658935547,0.703442752361298,-145.881973266602,0,0,0,-684.360534667969,-22348.48046875,112877.265625,222914.546875,-531855648,-531855648,143390496,-537806.6875,50.7123184204102,780375.625,11852865,5.35931730270386,4454.16259765625,-312.6220703125,-4360.18701171875,-804.329345703125,5.19275903701782,5.19275903701782,0,0.0106359664350748,-1.09369671008608e-06,4.0488534978067e-06,-1.56001675128937,0.0106397029012442,0.0106397029012442,-145.881973266602,-37.9481658935547,0.703442752361298,7827835.5,688095.5,0.0494895316660404
6255193.5,10212561,645699.3125,237.499877929688,68.1429595947266,1.11806666609482e-05,0.0202354155480862,0.0202242340892553,0.0358790718019009,82.7041625976562,1.0809326171875,0.850222766399384,518.268188476562,3468.75170898438,670080.6875,3713.40112304688,587742.3125,363.923767089844,189.980133056641,68.2076110839844,0.380893647670746,6950035.5,250.180755615234,679689.25,-36.8076705932617,-0.902166604995728,-133.410858154297,0,0,0,-454.673889160156,2593.33471679688,-11985.849609375,224474.546875,-139374128,-139374128,56848804,748697.25,49.9728126525879,780574,9828970,5.41255331039429,3406.01831054688,-233.422149658203,-3319.80004882812,-652.848266601562,237.889205932617,237.889205932617,0,0.0100000035017729,0.000490934995468706,9.81220291578211e-05,-1.51636731624603,0.0100143887102604,0.0100143887102604,-133.410858154297,-36.8076705932617,-0.902166604995728,7594981,686785.3125,0.0900408253073692
6273037,10241693,639119.625,237.660537719727,68.29248046875,1.11939725684351e-05,0.0217683613300323,0.0217571668326855,0.0359239131212234,89.0138168334961,1.08115363121033,0.850218236446381,518.268188476562,3469.66259765625,670264.625,3713.09252929688,587747.9375,364.135711669922,188.994537353516,68.3713302612305,0.377829909324646,6959629,250.213836669922,679756.8125,-36.6174049377441,-2.71740889549255,-132.393966674805,0,0,0,-591.80078125,2744.833984375,-12923.7802734375,223829.421875,36189556,36189556,-86719760,753851.125,49.8763847351074,778124.8125,9693786,5.40611505508423,3393.7734375,-103.764739990234,-3311.67919921875,-649.599365234375,238.001007080078,238.001007080078,0,0.00997570622712374,0.00098128360696137,0.000196118591702543,-1.46309781074524,0.0100272139534354,0.0100272139534354,-132.393966674805,-36.6174049377441,-2.71740889549255,7600797,686795.5625,0.0899881944060326
6282463,10257082,635502.6875,237.746002197266,68.3705139160156,1.12009802251123e-05,0.0220072064548731,0.0219960045069456,0.0359474904835224,90.0022506713867,1.08125936985016,0.850217580795288,518.268188476562,3470.10375976562,670364.8125,3712.94409179688,587752.25,364.2490234375,188.499649047852,68.4540023803711,0.376220524311066,6964477.5,250.234191894531,679793.8125,-36.5152206420898,-3.52007842063904,-131.848602294922,0,0,0,-598.544616699219,2997.91870117188,-13347.537109375,223545.984375,114976928,114976928,-128584360,752116.75,49.8222846984863,776956.875,9620129,5.40247535705566,3384.33715820312,40.8901824951172,-3302.27490234375,-647.268432617188,238.068557739258,238.068557739258,0,0.00992733892053366,0.00146984832827002,0.000294013298116624,-1.41161751747131,0.0100395707413554,0.0100395707413554,-131.848602294922,-36.5152206420898,-3.52007842063904,7604034.5,686806,0.0899556055665016
6288078,10266249,633634.1875,237.795196533203,68.418327331543,1.12051448013517e-05,0.0220628920942545,0.0220516864210367,0.0359616242349148,90.2376022338867,1.08134162425995,0.850217342376709,518.268188476562,3470.44116210938,670418.25,3712.82788085938,587754.375,364.3134765625,188.270980834961,68.5035552978516,0.375378608703613,6967724.5,250.253021240234,679813.1875,-36.4482307434082,-3.94737529754639,-131.565521240234,0,0,0,-727.971557617188,2994.56909179688,-13502.0205078125,223397.296875,146096000,146096000,-132728160,749363.8125,49.7762756347656,776410,9590896,5.3996958732605,3380.3828125,192.705032348633,-3292.26611328125,-645.875854492188,238.117553710938,238.117553710938,0,0.00985522847622633,0.00195546820759773,0.000391775218304247,-1.36281633377075,0.0100513938814402,0.0100513938814402,-131.565521240234,-36.4482307434082,-3.94737529754639,7606975.5,686815.9375,0.0899579301476479
6292747.5,10273873,632159.75,237.835327148438,68.4587936401367,1.1208605428692e-05,0.0220755059272051,0.022064296528697,0.0359734371304512,90.296630859375,1.08142018318176,0.850217282772064,518.268188476562,3470.7607421875,670459.625,3712.71704101562,587755.0625,364.365539550781,188.112991333008,68.544807434082,0.374731630086899,6970603.5,250.272048950195,679827.3125,-36.3881225585938,-4.20022392272949,-131.351547241211,0,0,0,-888.263305664062,2961.73120117188,-13552.2880859375,223311.3125,171842176,171842176,-132485104,748820.9375,49.7356796264648,776004.9375,9573806,5.39742183685303,3375.29370117188,346.989410400391,-3274.21508789062,-644.449584960938,238.156951904297,238.156951904297,0,0.00975966267287731,0.00243703671731055,0.000489413971081376,-1.31407427787781,0.010063411667943,0.010063411667943,-131.351547241211,-36.3881225585938,-4.20022392272949,7609956,686825.6875,0.0899597629904747
6296917,10280680,630901.6875,237.87060546875,68.4953689575195,1.12116931632045e-05,0.0220759939402342,0.0220647808164358,0.0359840169548988,90.3058166503906,1.08149671554565,0.850217342376709,518.268188476562,3471.07080078125,670494.5,3712.60864257812,587755.0625,364.411010742188,187.992416381836,68.5817413330078,0.374185889959335,6973281,250.291137695312,679838.6875,-36.3311729431152,-4.35624647140503,-131.174331665039,0,0,0,-1027.45166015625,2922.63012695312,-13599.421875,223210.0625,180769392,180769392,-135796368,747725,49.6944847106934,775646.375,9556237,5.39526987075806,3372.53759765625,502.179321289062,-3251.20385742188,-643.158630371094,238.191528320312,238.191528320312,0,0.00964093860238791,0.00291344872675836,0.00058693386381492,-1.26539134979248,0.0100756613537669,0.0100756613537669,-131.174331665039,-36.3311729431152,-4.35624647140503,7612948.5,686835.3125,0.0899610370397568
6300803.5,10287026,629773.75,237.903091430664,68.5297622680664,1.12145698949462e-05,0.0220702160149813,0.0220590010285378,0.035993903875351,90.2892074584961,1.08157229423523,0.850217461585999,518.268188476562,3471.37573242188,670525.625,3712.50170898438,587754.6875,364.452758789062,187.893051147461,68.6163101196289,0.37369641661644,6975843,250.310241699219,679848.5,-36.2761878967285,-4.44812631607056,-131.018127441406,0,0,0,-1173.23876953125,2874.17260742188,-13633.94921875,223119.734375,187485360,187485360,-129272312,745923.125,49.6533966064453,775318.75,9541741,5.39317798614502,3370.60620117188,657.072448730469,-3221.53515625,-642.153564453125,238.22314453125,238.22314453125,0,0.00949935521930456,0.00338359572924674,0.000684338388964534,-1.21676874160767,0.0100881261751056,0.0100881261751056,-131.018127441406,-36.2761878967285,-4.44812631607056,7615943,686844.875,0.0899618715047836
6304550,10293143,628714.125,237.934173583984,68.5630798339844,1.12173411253025e-05,0.0220584440976381,0.0220472272485495,0.036003440618515,90.2479553222656,1.08164739608765,0.850217521190643,518.268188476562,3471.6787109375,670554.75,3712.39526367188,587754.0625,364.492614746094,187.80451965332,68.6497192382812,0.373234778642654,6978346.5,250.329345703125,679857.5625,-36.22216796875,-4.48736715316772,-130.873153686523,0,0,0,-1308.60852050781,2816.47973632812,-13649.994140625,223031.421875,192933472,192933472,-126041288,743643.25,49.6113815307617,775005.0625,9528455,5.39108419418335,3369.1806640625,811.489990234375,-3184.78857421875,-641.167175292969,238.253555297852,238.253555297852,0,0.00933520402759314,0.00384639110416174,0.000781635229941458,-1.16820633411407,0.0101007344201207,0.0101007344201207,-130.873153686523,-36.22216796875,-4.48736715316772,7618939,686854.375,0.0899622142314911
6308248,10299180,627672,237.964782714844,68.5960159301758,1.1220075066376e-05,0.0220440533012152,0.0220328327268362,0.0360128544270992,90.1958770751953,1.08172214031219,0.850217580795288,518.268188476562,3471.98022460938,670583.3125,3712.2890625,587753.375,364.531829833984,187.719589233398,68.6826858520508,0.372781723737717,6980825,250.348434448242,679866.3125,-36.167797088623,-4.4773416519165,-130.732986450195,0,0,0,-1441.70104980469,2752.15454101562,-13660.4453125,222938.8125,198689632,198689632,-127070008,741135.625,49.5688514709473,774703.1875,9515482,5.38899850845337,3368.15209960938,964.892700195312,-3140.76000976562,-640.367980957031,238.283081054688,238.283081054688,0,0.00914878491312265,0.00430072704330087,0.000878828286658973,-1.11970257759094,0.0101133631542325,0.0101133631542325,-130.732986450195,-36.167797088623,-4.4773416519165,7621934,686863.875,0.0899619460105896
