Pressure,Pressure Coefficient,Dynamic Pressure,Temperature,Density,Dynamic Viscosity,Effective Viscosity,Eddy Viscosity,Thermal Conductivity,Effective Thermal Conductivity,Prandtl Number,Effective Prandtl Number,R Gas Constant,Specific Heat Capacity,Static Enthalpy,Entropy,Total Energy,Speed Of Sound,Velocity (mwa),Density (mwa),Mach Number (mwa),Total Pressure (mwa),Total Temperature (mwa),Total Enthalpy (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Velocity Circumferential (mwa),Dp Dx,Dp Dy,Dp Dz,Vorticity X,Vorticity Y,Vorticity Z,Vorticity Magnitude,Q Criterion Normalized,Q Criterion Raw,Lambda 2 Criterion,Helicity,Turbulence Kinetic Energy,Turbulence Eddy Frequency,Turbulence Eddy Dissipation,Turbulence Intensity,Wall Shear,Wall Shear X,Wall Shear Y,Wall Shear Z,Wall Temperature,Wall Adjacent Temperature,Heat Flux,X,Y,Z,Angular Coordinate,Radial Angular Coordinate,Radial Angular Coordinate,Velocity Circumferential (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Relative Total Pressure (mwa),Rothalpy (mwa),mdot
6256472.5,10214649,518698.90625,235.182708740234,69.8469848632812,1.11699064291315e-05,0.0489177741110325,0.0489066056907177,0.0360005386173725,204.966354370117,1.10485029220581,0.850107967853546,518.268188476562,3560.92700195312,661913.75,3678.75903320312,579765.5625,360.197204589844,200.943145751953,69.8513336181641,0.338537186384201,6793115,249.437789916992,669362.3125,-35.5410919189453,1.49829912185669,-116.44075012207,0,0,0,-496.990386962891,-11784.44921875,63621.9296875,121805.8125,-145985744,-145985744,66903932,-569851.4375,54.3612022399902,428445.71875,5953310,5.69344186782837,4040.697265625,-295.653533935547,-3958.88403320312,-692.48046875,5.23717260360718,5.23717260360718,0,0.0110599435865879,-1.8542074258221e-06,6.7595942709886e-06,-1.56090271472931,0.0110652167350054,0.0110652167350054,-116.44075012207,-35.5410919189453,1.49829912185669,7782346,678819.5,0.137157559394836
6249881,10203888,449809.28125,235.438507080078,69.5541610717773,1.1166172043886e-05,0.0337017811834812,0.0336906164884567,0.035965371876955,140.825149536133,1.10136735439301,0.850148379802704,518.268188476562,3547.42431640625,662967.1875,3683.64135742188,579570.4375,360.632354736328,186.329605102539,69.6022567749023,0.317285627126694,6725853.5,247.796661376953,669492.0625,-35.9926910400391,0.782663404941559,-108.250152587891,0,0,0,-529.678466796875,1889.54125976562,-5692.1611328125,125536.8984375,-21239414,-21239414,14001781,476065.9375,50.6365089416504,431051.65625,4919844,5.46172189712524,3094.88403320312,-237.451416015625,-3008.8994140625,-590.117797851562,235.696548461914,235.696548461914,0,0.0100000416859984,0.000490389706101269,9.79974574875087e-05,-1.51960647106171,0.0100155333057046,0.0100155333057046,-108.250152587891,-35.9926910400391,0.782663404941559,7561639,677612.9375,0.250240176916122
6262773.5,10224936,445723.5,235.555801391602,69.6631774902344,1.11759754872764e-05,0.0351292416453362,0.0351180657744408,0.0359981022775173,146.828796386719,1.10151159763336,0.850145816802979,518.268188476562,3547.99829101562,663102.5,3683.44116210938,579592.75,360.790252685547,185.594863891602,69.7251739501953,0.315029114484787,6734432,247.81916809082,669568.9375,-35.852710723877,-1.0213406085968,-107.517478942871,0,0,0,-641.610961914062,1878.26977539062,-5862.70947265625,125024.0703125,39784616,39784616,-32275552,476484.5,50.6469650268555,429429.65625,4852071.5,5.46267223358154,3084.40942382812,-117.239479064941,-3003.3681640625,-587.350891113281,235.792327880859,235.792327880859,0,0.00997585710138083,0.000980200944468379,0.000195856046047993,-1.46926891803741,0.0100277122110128,0.0100277122110128,-107.517478942871,-35.852710723877,-1.0213406085968,7565506,677620.5625,0.25024002790451
6272636,10241038,442060.71875,235.648910522461,69.7434387207031,1.11834615381667e-05,0.0354543253779411,0.0354431420564651,0.0360228419303894,148.200271606445,1.10157907009125,0.850145041942596,518.268188476562,3548.2744140625,663219.125,3683.34594726562,579612.625,360.917053222656,184.997970581055,69.813346862793,0.313162088394165,6740310.5,247.834213256836,669632.625,-35.7438163757324,-2.1792323589325,-106.883041381836,0,0,0,-754.092346191406,1922.31115722656,-6062.65673828125,124889.28125,77877440,77877440,-53432924,473356.28125,50.6600646972656,428708.75,4813139,5.46370458602905,3075.36669921875,11.0892391204834,-2994.93310546875,-585.433471679688,235.85498046875,235.85498046875,0,0.00992779992520809,0.00146824063267559,0.000293687422527,-1.41750955581665,0.010040232911706,0.010040232911706,-106.883041381836,-35.7438163757324,-2.1792323589325,7567731,677629.875,0.250099748373032
6280822,10254404,438887.1875,235.726348876953,69.8096084594727,1.11896615635487e-05,0.0353935658931732,0.0353823751211166,0.0360433124005795,147.952377319336,1.10163009166718,0.850144922733307,518.268188476562,3548.48608398438,663317.1875,3683.27294921875,579628.5625,361.022857666016,184.518096923828,69.8843078613281,0.31160107254982,6745024.5,247.84846496582,669684.0625,-35.6564025878906,-2.93882846832275,-106.341484069824,0,0,0,-744.593811035156,1978.78295898438,-6262.646484375,124747.6015625,106085152,106085152,-65875004,470597.65625,50.6604995727539,428036.5,4779060.5,5.4639458656311,3070.55810546875,144.519470214844,-2985.45483398438,-584.21044921875,235.900634765625,235.900634765625,0,0.00985591486096382,0.00195337156765163,0.000391316338209435,-1.36265158653259,0.0100536569952965,0.0100536569952965,-106.341484069824,-35.6564025878906,-2.93882846832275,7569750.5,677638.5,0.249936446547508
6285218.5,10261581,437411.53125,235.766448974609,69.8461837768555,1.11929830381996e-05,0.0352424085140228,0.0352312177419662,0.0360543839633465,147.324462890625,1.10167276859283,0.850144982337952,518.268188476562,3548.6591796875,663364.625,3683.21215820312,579636.625,361.077301025391,184.321563720703,69.9230194091797,0.310843467712402,6747726,247.862243652344,669709.25,-35.6124229431152,-3.41366600990295,-106.075065612793,0,0,0,-846.917541503906,1962.20751953125,-6356.62060546875,124704.890625,119600200,119600200,-71663272,467438.96875,50.6428337097168,427798.03125,4767594.5,5.46313238143921,3067.05639648438,280.8251953125,-2971.41088867188,-583.158386230469,235.936157226562,235.936157226562,0,0.00976068526506424,0.0024344774428755,0.000488847610540688,-1.31390154361725,0.0100657800212502,0.0100657800212502,-106.075065612793,-35.6124229431152,-3.41366600990295,7571683,677646.5,0.249945476651192
6289128,10267964,435970.03125,235.802352905273,69.8786773681641,1.11959398054751e-05,0.0350866243243217,0.0350754261016846,0.0360642373561859,146.677032470703,1.10171043872833,0.850145161151886,518.268188476562,3548.81225585938,663407.375,3683.1591796875,579642.3125,361.125885009766,184.156936645508,69.9568634033203,0.310158312320709,6750063,247.876266479492,669729.875,-35.5656204223633,-3.72468662261963,-105.837295532227,0,0,0,-865.118957519531,2076.6962890625,-6410.65673828125,124640.15625,124002544,124002544,-72069864,463506.375,50.6204566955566,427533.75,4756254.5,5.46210145950317,3065.11328125,418.817932128906,-2952.6279296875,-582.362548828125,235.965362548828,235.965362548828,0,0.00964229740202427,0.00291042821481824,0.000586259295232594,-1.26792871952057,0.0100774029269814,0.0100774029269814,-105.837295532227,-35.5656204223633,-3.72468662261963,7573641.5,677654.4375,0.249900668859482
6292336.5,10273203,434851.5625,235.83122253418,69.90576171875,1.11983636088553e-05,0.0349523201584816,0.0349411219358444,0.0360723547637463,146.11946105957,1.10174739360809,0.850145280361176,518.268188476562,3548.96118164062,663440.4375,3683.10717773438,579646.375,361.164794921875,184.042663574219,69.9849319458008,0.309612214565277,6752004,247.889755249023,669745.5,-35.5297241210938,-3.93254137039185,-105.648010253906,0,0,0,-929.829711914062,2044.54736328125,-6461.08740234375,124610.421875,128362264,128362264,-74745240,460625.71875,50.5870742797852,427395.96875,4749824,5.46036767959595,3064.16552734375,557.797729492188,-2928.25512695312,-581.72998046875,235.990676879883,235.990676879883,0,0.0095010157674551,0.00338011444546282,0.000683582504279912,-1.22169291973114,0.010089248418808,0.010089248418808,-105.648010253906,-35.5297241210938,-3.93254137039185,7575528.5,677661.625,0.249899163842201
6295232,10277930,433877.0625,235.856826782227,69.9305648803711,1.12005500341184e-05,0.0348416529595852,0.0348304510116577,0.0360797122120857,145.661071777344,1.1017861366272,0.850145399570465,518.268188476562,3549.1162109375,663468.625,3683.05297851562,579649.3125,361.199157714844,183.960906982422,70.0103225708008,0.309138655662537,6753785,247.90412902832,669758.1875,-35.4938507080078,-4.07191038131714,-105.486740112305,0,0,0,-1021.15838623047,1990.20910644531,-6492.84228515625,124574.34375,133387008,133387008,-75541192,456513.9375,50.5476531982422,427250.25,4743957,5.45830917358398,3063.84106445312,697.09423828125,-2897.74633789062,-581.116638183594,236.013442993164,236.013442993164,0,0.00933723617345095,0.00384248816408217,0.000780762522481382,-1.17327642440796,0.0101017504930496,0.0101017504930496,-105.486740112305,-35.4938507080078,-4.07191038131714,7577538,677669.1875,0.249913051724434
6298051.5,10282533,432918.0625,235.881576538086,69.9549407958984,1.12026800707099e-05,0.03475396707654,0.0347427651286125,0.0360868945717812,145.299163818359,1.10182702541351,0.85014545917511,518.268188476562,3549.27954101562,663495.1875,3682.99609375,579651.375,361.232147216797,183.892623901367,70.0349426269531,0.308684110641479,6755512,247.919357299805,669769.375,-35.453727722168,-4.14886426925659,-105.335762023926,0,0,0,-1167.36047363281,1916.65100097656,-6531.24365234375,124480.96875,127496448,127496448,-72141664,452089.0625,50.5032119750977,427109.28125,4738843.5,5.45599699020386,3066.35791015625,837.055908203125,-2862.92041015625,-581.153930664062,236.035751342773,236.035751342773,0,0.00915112532675266,0.00429637590423226,0.000877876183949411,-1.12254798412323,0.010114804841578,0.010114804841578,-105.335762023926,-35.453727722168,-4.14886426925659,7579669.5,677677,0.249931946396828
6300851.5,10287104,431925.875,235.90625,69.9791870117188,1.12047982838703e-05,0.0347120948135853,0.0347008928656578,0.0360940434038639,145.129135131836,1.1018682718277,0.85014545917511,518.268188476562,3549.4443359375,663521.6875,3682.939453125,579652.9375,361.264892578125,183.826614379883,70.0590057373047,0.308231115341187,6757182.5,247.93473815918,669779.75,-35.4113998413086,-4.17097854614258,-105.187637329102,0,0,0,-1345.22094726562,1752.63610839844,-6509.19677734375,124406.9765625,167818016,167818016,-81791992,444509.84375,50.4581718444824,426346.78125,4719804,5.45365285873413,3061.56420898438,974.107482910156,-2814.34057617188,-579.377136230469,236.060317993164,236.060317993164,0,0.00894300825893879,0.00474065588787198,0.000974841299466789,-1.07099509239197,0.010127772577107,0.010127772577107,-105.187637329102,-35.4113998413086,-4.17097854614258,7581817.5,677684.875,0.249954774975777
6303499,10291427,430900.5,235.929946899414,70.0019302368164,1.12068055386771e-05,0.0347243882715702,0.0347131825983524,0.0361008010804653,145.185882568359,1.1019047498703,0.85014533996582,518.268188476562,3549.59033203125,663547.875,3682.88989257812,579653.9375,361.296325683594,183.760391235352,70.0816421508789,0.307786196470261,6758726.5,247.949447631836,669789.25,-35.3672409057617,-4.17618131637573,-105.043319702148,0,0,0,-1581.66577148438,1648.98229980469,-6627.96240234375,124123.921875,130184672,130184672,-68787056,443473.96875,50.4130935668945,425518.0625,4710230,5.45129251480103,3063.78173828125,1112.44616699219,-2764.75,-580.820922851562,236.091827392578,236.091827392578,0,0.00871323421597481,0.00517414882779121,0.00107174960430712,-1.02259194850922,0.0101395919919014,0.0101395919919014,-105.043319702148,-35.3672409057617,-4.17618131637573,7583871.5,677692.5,0.249956056475639
