Pressure,Pressure Coefficient,Dynamic Pressure,Temperature,Density,Dynamic Viscosity,Effective Viscosity,Eddy Viscosity,Thermal Conductivity,Effective Thermal Conductivity,Prandtl Number,Effective Prandtl Number,R Gas Constant,Specific Heat Capacity,Static Enthalpy,Entropy,Total Energy,Speed Of Sound,Velocity (mwa),Density (mwa),Mach Number (mwa),Total Pressure (mwa),Total Temperature (mwa),Total Enthalpy (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Velocity Circumferential (mwa),Dp Dx,Dp Dy,Dp Dz,Vorticity X,Vorticity Y,Vorticity Z,Vorticity Magnitude,Q Criterion Normalized,Q Criterion Raw,Lambda 2 Criterion,Helicity,Turbulence Kinetic Energy,Turbulence Eddy Frequency,Turbulence Eddy Dissipation,Turbulence Intensity,Wall Shear,Wall Shear X,Wall Shear Y,Wall Shear Z,Wall Temperature,Wall Adjacent Temperature,Heat Flux,X,Y,Z,Angular Coordinate,Radial Angular Coordinate,Radial Angular Coordinate,Velocity Circumferential (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Relative Total Pressure (mwa),Rothalpy (mwa),mdot
6296669,10280276,1533694.125,239.080474853516,67.6605606079102,1.12195793917635e-05,0.0376737043261528,0.0376624837517738,0.0359376929700375,151.89192199707,1.07016491889954,0.850103259086609,518.268188476562,3427.88037109375,674662.375,3730.0615234375,604254.5625,366.297515869141,218.815963745117,67.6813507080078,0.581878483295441,7971094,255.564163208008,697347.5,-39.1722717285156,14.0478391647339,-208.799682617188,0,0,0,-374.350036621094,-13514.6875,56353.984375,131760.40625,-906398528,-906398528,383650176,1196752.625,65.7801361083984,472302,8064734,6.45850419998169,5359.6455078125,-252.846206665039,-5265.0341796875,-936.275268554688,5.3296685218811,5.3296685218811,0,0.0110599435865879,-1.8542074258221e-06,6.7595942709886e-06,-1.56090271472931,0.0110652167350054,0.0110652167350054,-208.799682617188,-39.1722717285156,14.0478391647339,8069565.5,698563.0625,0.144333004951477
6299808.5,10285401,1204045.5,240.253814697266,66.937614440918,1.12315747173852e-05,0.0263112243264914,0.0262999925762415,0.0359153263270855,105.366416931152,1.06024861335754,0.850160002708435,518.268188476562,3390.4228515625,678576.25,3746.18994140625,602354.6875,368.096221923828,197.704162597656,67.1376876831055,0.523396968841553,7666476,253.711776733398,696712.875,-37.8626480102539,12.3595733642578,-188.037460327148,0,0,0,-327.653930664062,1427.50170898438,-16589.052734375,136816.96875,-840228480,-840228480,421700704,1268750.5,56.2003440856934,458431.5,5961748.5,5.85649394989014,3461.49243164062,-159.820495605469,-3367.94287109375,-644.245788574219,241.873443603516,241.873443603516,0,0.0100000416859984,0.000490389706101269,9.79974574875087e-05,-1.51960647106171,0.0100155333057046,0.0100155333057046,-188.037460327148,-37.8626480102539,12.3595733642578,7746649.5,697730.875,0.25064417719841
6356915.5,10378637,1178269.75,240.723251342773,67.4266204833984,1.12726165752974e-05,0.0322226174175739,0.0322113446891308,0.0360558368265629,129.234146118164,1.0611766576767,0.850148618221283,518.268188476562,3394.22387695312,679042.125,3744.69067382812,602154.875,368.707824707031,193.973449707031,67.6272506713867,0.512028396129608,7677661.5,253.757919311523,696735.625,-37.2039031982422,6.92553567886353,-184.696868896484,0,0,0,-503.721832275391,1471.26013183594,-17300.109375,134012.078125,-524312352,-524312352,226467904,1262063.25,55.5520973205566,451451.25,5625868.5,5.82792806625366,3359.59594726562,-79.4032821655273,-3276.49438476562,-629.174377441406,241.40461730957,241.40461730957,0,0.00997585710138083,0.000980200944468379,0.000195856046047993,-1.46926891803741,0.0100277122110128,0.0100277122110128,-184.696868896484,-37.2039031982422,6.92553567886353,7756120,697730.9375,0.250808507204056
6394701.5,10440329,1158745.625,241.06575012207,67.7262649536133,1.12999850898632e-05,0.0357357338070869,0.0357244350016117,0.0361480377614498,143.425674438477,1.06150126457214,0.850138485431671,518.268188476562,3395.67993164062,679465.875,3744.20556640625,602082.625,369.166534423828,191.41487121582,67.9327774047852,0.504311144351959,7681878,253.772964477539,696754.0625,-36.8040466308594,3.22001361846924,-182.307388305664,0,0,0,-639.859130859375,1501.74060058594,-17682.677734375,132998.546875,-148833232,-148833232,33478534,1253111.875,55.3483772277832,448643.84375,5462518,5.81903409957886,3317.08422851562,20.0726432800293,-3236.708984375,-624.750915527344,241.46662902832,241.46662902832,0,0.00992779992520809,0.00146824063267559,0.000293687422527,-1.41750955581665,0.010040232911706,0.010040232911706,-182.307388305664,-36.8040466308594,3.22001361846924,7759064.5,697733.1875,0.25041264295578
6420958.5,10483198,1144591.25,241.299880981445,67.9327163696289,1.13188370960415e-05,0.0374036096036434,0.0373922921717167,0.0362115688621998,150.170104980469,1.06170904636383,0.850132882595062,518.268188476562,3396.62963867188,679756.1875,3743.87646484375,602028.375,369.485168457031,189.673950195312,68.1349334716797,0.499099582433701,7684223,253.780334472656,696766.5,-36.5696754455566,0.722468674182892,-180.623687744141,0,0,0,-637.406005859375,1584.68334960938,-18193.072265625,132344.578125,63594992,63594992,-41244208,1248983.875,55.2828369140625,446610.0625,5352814,5.81659841537476,3309.40600585938,136.593505859375,-3222.9326171875,-625.57177734375,241.572891235352,241.572891235352,0,0.00985591486096382,0.00195337156765163,0.000391316338209435,-1.36265158653259,0.0100536569952965,0.0100536569952965,-180.623687744141,-36.5696754455566,0.722468674182892,7760498,697734.25,0.249891325831413
6432753,10502454,1140045.625,241.3974609375,68.0288314819336,1.13271980808349e-05,0.0376755483448505,0.0376642234623432,0.0362400636076927,151.262893676758,1.06184697151184,0.850129961967468,518.268188476562,3397.224609375,679864.1875,3743.646484375,602015.875,369.619079589844,189.006500244141,68.2255783081055,0.497081398963928,7686200,253.789093017578,696773.1875,-36.508918762207,-0.893611252307892,-179.96159362793,0,0,0,-726.747314453125,1575.38073730469,-18445.966796875,132163.015625,156752208,156752208,-94394712,1250710.75,55.2740249633789,446125.28125,5324150,5.81679153442383,3308.57666015625,264.590209960938,-3210.7666015625,-627.031433105469,241.630493164062,241.630493164062,0,0.00976068526506424,0.0024344774428755,0.000488847610540688,-1.31390154361725,0.0100657800212502,0.0100657800212502,-179.96159362793,-36.508918762207,-0.893611252307892,7762120.5,697736.5,0.249918729066849
6442040.5,10517617,1135900.75,241.475479125977,68.1041488647461,1.13337928269175e-05,0.0374210625886917,0.0374097302556038,0.0362625382840633,150.24641418457,1.06195378303528,0.850129306316376,518.268188476562,3397.6884765625,679952.25,3743.47290039062,601999.9375,369.725250244141,188.503601074219,68.2967758178711,0.495563805103302,7688420.5,253.799987792969,696779.0625,-36.4392852783203,-1.96931576728821,-179.454803466797,0,0,0,-708.089477539062,1696.44958496094,-18595.013671875,131980.234375,185443328,185443328,-104937640,1244316.75,55.3016777038574,445600,5297275.5,5.81907606124878,3310.3681640625,400.563934326172,-3195.70947265625,-628.530151367188,241.665893554688,241.665893554688,0,0.00964229740202427,0.00291042821481824,0.000586259295232594,-1.26792871952057,0.0100774029269814,0.0100774029269814,-179.454803466797,-36.4392852783203,-1.96931576728821,7764125.5,697739.5625,0.249760344624519
6448037,10527407,1134006.125,241.522277832031,68.1542816162109,1.1338002877892e-05,0.0370614528656006,0.0370501130819321,0.0362770184874535,148.805206298828,1.06204164028168,0.850128889083862,518.268188476562,3398.05908203125,679998.875,3743.32495117188,601994.3125,369.789794921875,188.212295532227,68.3426895141602,0.49467459321022,7689943.5,253.807052612305,696781,-36.4235801696777,-2.72032046318054,-179.148300170898,0,0,0,-766.153442382812,1681.34545898438,-18760.513671875,131952.328125,209744624,209744624,-117631416,1248723.875,55.2781410217285,445529.65625,5289753,5.81823444366455,3312.8857421875,542.022521972656,-3175.22924804688,-629.849914550781,241.690307617188,241.690307617188,0,0.0095010157674551,0.00338011444546282,0.000683582504279912,-1.22169291973114,0.010089248418808,0.010089248418808,-179.148300170898,-36.4235801696777,-2.72032046318054,7765529,697739.9375,0.249772027134895
6452281.5,10534337,1133231.875,241.552749633789,68.1912078857422,1.13409523692098e-05,0.0367162935435772,0.0367049500346184,0.0362872928380966,147.423004150391,1.06212294101715,0.850128769874573,518.268188476562,3398.39331054688,680023.5,3743.18701171875,601992.8125,369.831848144531,188.054809570312,68.3757171630859,0.494179606437683,7691559.5,253.815170288086,696782.4375,-36.4189414978027,-3.27218794822693,-178.975051879883,0,0,0,-836.895935058594,1635.83093261719,-18873.8359375,131930.953125,219208448,219208448,-131359312,1251524.125,55.2355117797852,445500,5287037,5.81596040725708,3315.517578125,686.970092773438,-3148.203125,-630.810485839844,241.708786010742,241.708786010742,0,0.00933723617345095,0.00384248816408217,0.000780762522481382,-1.17327642440796,0.0101017504930496,0.0101017504930496,-178.975051879883,-36.4189414978027,-3.27218794822693,7767106.5,697740.8125,0.249825164675713
6455621.5,10539790,1132904.75,241.575408935547,68.2211990356445,1.13432624857523e-05,0.0363887511193752,0.0363774076104164,0.0362954214215279,146.115692138672,1.06219947338104,0.850128948688507,518.268188476562,3398.7041015625,680038.25,3743.05859375,601992.3125,369.862762451172,187.960540771484,68.4024200439453,0.493870556354523,7693247.5,253.823974609375,696783.375,-36.4111709594727,-3.65374422073364,-178.867614746094,0,0,0,-950.168151855469,1554.88220214844,-18971.998046875,131851.046875,248174880,248174880,-148905968,1255161.875,55.1800956726074,445472.875,5285710,5.81287860870361,3320.509765625,835.43701171875,-3116.15673828125,-631.646728515625,241.72607421875,241.72607421875,0,0.00915112532675266,0.00429637590423226,0.000877876183949411,-1.12254798412323,0.010114804841578,0.010114804841578,-178.867614746094,-36.4111709594727,-3.65374422073364,7768806,697741.75,0.249885901808739
