Pressure,Pressure Coefficient,Dynamic Pressure,Temperature,Density,Dynamic Viscosity,Effective Viscosity,Eddy Viscosity,Thermal Conductivity,Effective Thermal Conductivity,Prandtl Number,Effective Prandtl Number,R Gas Constant,Specific Heat Capacity,Static Enthalpy,Entropy,Total Energy,Speed Of Sound,Velocity (mwa),Density (mwa),Mach Number (mwa),Total Pressure (mwa),Total Temperature (mwa),Total Enthalpy (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Velocity Circumferential (mwa),Dp Dx,Dp Dy,Dp Dz,Vorticity X,Vorticity Y,Vorticity Z,Vorticity Magnitude,Q Criterion Normalized,Q Criterion Raw,Lambda 2 Criterion,Helicity,Turbulence Kinetic Energy,Turbulence Eddy Frequency,Turbulence Eddy Dissipation,Turbulence Intensity,Wall Shear,Wall Shear X,Wall Shear Y,Wall Shear Z,Wall Temperature,Wall Adjacent Temperature,Heat Flux,X,Y,Z,Angular Coordinate,Radial Angular Coordinate,Radial Angular Coordinate,Velocity Circumferential (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Relative Total Pressure (mwa),Rothalpy (mwa),mdot
6283976.5,10259554,1220731.375,239.207717895508,67.3898010253906,1.12119023469859e-05,0.0287556983530521,0.0287444852292538,0.0358973480761051,115.676284790039,1.06776475906372,0.850133121013641,518.268188476562,3418.6865234375,675361.6875,3733.77026367188,600222.5,366.5263671875,212.827865600586,67.4012222290039,0.519850730895996,7594848.5,254.802001953125,693509.8125,-38.6898574829102,7.15258455276489,-186.269348144531,0,0,0,-550.79345703125,-16777.48828125,76968.96875,165334.09375,-745714688,-745714688,289280256,717899.9375,54.6444778442383,582991.25,9378107,5.70411777496338,4884.79931640625,-303.034790039062,-4789.0810546875,-866.138061523438,5.3306303024292,5.3306303024292,0,0.0108479522168636,-1.48047877246427e-06,5.40790688319248e-06,-1.560422539711,0.0108523545786738,0.0108523545786738,-186.269348144531,-38.6898574829102,7.15258455276489,7945922,697752.875,0.0896741151809692
6270147.5,10236976,995152,239.889068603516,66.7447052001953,1.12085490400204e-05,0.0218631476163864,0.0218519400805235,0.0358406901359558,87.436393737793,1.06048536300659,0.850175797939301,518.268188476562,3391.04931640625,677957.875,3745.48388671875,598876.9375,367.614959716797,194.851684570312,66.8599166870117,0.473822891712189,7366861.5,253.040771484375,693045.125,-37.6595153808594,5.71291255950928,-169.707824707031,0,0,0,-334.889343261719,1827.75183105469,-15692.580078125,169891.953125,-428516352,-428516352,205381008,1124735.375,50.3851623535156,576791.5,7407181,5.45644664764404,3439.3037109375,-230.658706665039,-3353.7392578125,-654.824462890625,240.4140625,240.4140625,0,0.00999978557229042,0.000490445178002119,9.80464028543793e-05,-1.52830910682678,0.0100121451541781,0.0100121451541781,-169.707824707031,-37.6595153808594,5.71291255950928,7660537,696676.9375,0.16024287045002
6298531.5,10283317,984400.375,240.137222290039,66.980827331543,1.12292173071182e-05,0.0252717137336731,0.0252604838460684,0.0359109751880169,101.160293579102,1.06086432933807,0.850165128707886,518.268188476562,3392.64331054688,678235.25,3744.92504882812,598848.8125,367.939849853516,193.212997436523,67.1171035766602,0.46878519654274,7377452.5,253.07991027832,693092.1875,-37.3715515136719,1.7480776309967,-168.199478149414,0,0,0,-538.696350097656,1866.58520507812,-16297.9599609375,168587.40625,-66671644,-66671644,-22309932,1116091.75,50.2272300720215,573826.5,7226497.5,5.4473557472229,3411.58715820312,-126.259178161621,-3327.14208984375,-649.408935546875,240.611022949219,240.611022949219,0,0.0099750766530633,0.000980264972895384,0.000196007138583809,-1.47907471656799,0.0100236115977168,0.0100236115977168,-168.199478149414,-37.3715515136719,1.7480776309967,7668124,696682.5,0.160330280661583
6316600.5,10312817,976307.8125,240.298934936523,67.1264343261719,1.1242319487792e-05,0.0265623889863491,0.0265511460602283,0.0359552688896656,106.355888366699,1.06104910373688,0.85016131401062,518.268188476562,3393.44995117188,678428.9375,3744.65063476562,598830.0625,368.154754638672,192.114700317383,67.2692031860352,0.465452015399933,7382762,253.098022460938,693125.75,-37.184326171875,-0.551258683204651,-167.130966186523,0,0,0,-663.532043457031,1914.18225097656,-16715.4609375,168138.84375,80084416,80084416,-104944328,1110209.625,50.1939277648926,572424.125,7135283,5.44555234909058,3393.6904296875,-0.256264060735703,-3308.29443359375,-646.436401367188,240.716812133789,240.716812133789,0,0.00992617942392826,0.00146823923569173,0.000293839140795171,-1.43028521537781,0.0100346710532904,0.0100346710532904,-167.130966186523,-37.184326171875,-0.551258683204651,7671385.5,696688.75,0.160222291946411
6328287,10331897,971058.6875,240.402603149414,67.2206573486328,1.12507586891297e-05,0.0268155131489038,0.0268042609095573,0.035983856767416,107.379402160645,1.0611720085144,0.850160360336304,518.268188476562,3393.98681640625,678552.125,3744.46606445312,598817.5,368.292724609375,191.43376159668,67.3650360107422,0.463376551866531,7386335,253.111587524414,693146.5,-37.0670928955078,-1.95317697525024,-166.443893432617,0,0,0,-769.747009277344,1961.83447265625,-17029.25,167879.71875,168789168,168789168,-115109400,1105273.625,50.1844863891602,571494.6875,7082676.5,5.44526433944702,3384.78515625,138.317291259766,-3294.1728515625,-644.939208984375,240.781661987305,240.781661987305,0,0.00985342916101217,0.00195318600162864,0.000391564826713875,-1.38196992874146,0.0100455423817039,0.0100455423817039,-166.443893432617,-37.0670928955078,-1.95317697525024,7673794.5,696693.625,0.160129979252815
6336374.5,10345101,967533.1875,240.47331237793,67.2865676879883,1.12565876406734e-05,0.0267342831939459,0.0267230253666639,0.0360036715865135,107.060363769531,1.06126773357391,0.850160360336304,518.268188476562,3394.40014648438,678633.6875,3744.32177734375,598807.875,368.386352539062,190.994201660156,67.4311676025391,0.462016195058823,7389139.5,253.123825073242,693159.375,-36.9828109741211,-2.84130764007568,-165.987060546875,0,0,0,-874.6513671875,2010.51184082031,-17224.99609375,167716.625,217084160,217084160,-144104304,1101387.25,50.1728363037109,570906.0625,7050784,5.44480895996094,3379.3896484375,283.458740234375,-3277.97241210938,-643.749267578125,240.827438354492,240.827438354492,0,0.00975725706666708,0.00243402924388647,0.000489107042085379,-1.33444476127625,0.0100563354790211,0.0100563354790211,-165.987060546875,-36.9828109741211,-2.84130764007568,7675984,696697.5,0.160064235329628
6342408.5,10354953,964932.375,240.525588989258,67.3363037109375,1.12609359348426e-05,0.0265636127442122,0.0265523511916399,0.0360185094177723,106.38272857666,1.06134736537933,0.850160717964172,518.268188476562,3394.73999023438,678692.375,3744.203125,598799.375,368.454986572266,190.688888549805,67.4809417724609,0.461049824953079,7391542.5,253.13557434082,693167.8125,-36.9126396179199,-3.42553949356079,-165.662002563477,0,0,0,-925.210998535156,2100.76391601562,-17345.29296875,167617.1875,237250976,237250976,-146825968,1097682.5,50.1571731567383,570548.4375,7030958,5.44398593902588,3375.10400390625,431.986572265625,-3256.50561523438,-642.625366210938,240.862991333008,240.862991333008,0,0.00963802915066481,0.00290964357554913,0.000586527574341744,-1.28868246078491,0.0100669534876943,0.0100669534876943,-165.662002563477,-36.9126396179199,-3.42553949356079,7678101,696701.125,0.160005748271942
6346899,10362284,963370.125,240.562606811523,67.3746032714844,1.12641564555815e-05,0.0264153014868498,0.0264040380716324,0.0360296070575714,105.794990539551,1.06142389774323,0.850161135196686,518.268188476562,3395.05834960938,678729.5625,3744.08666992188,598793.625,368.503021240234,190.503295898438,67.5189895629883,0.460428506135941,7393760.5,253.147735595703,693172.9375,-36.8603858947754,-3.85710954666138,-165.453384399414,0,0,0,-930.250366210938,2089.51000976562,-17411.0546875,167493.109375,243870768,243870768,-153715040,1096744.75,50.126106262207,570157.5,7013367.5,5.44210624694824,3373.15112304688,582.089111328125,-3230.55590820312,-641.63525390625,240.892425537109,240.892425537109,0,0.00949611514806747,0.0033789889421314,0.000683829945046455,-1.24070572853088,0.0100783985108137,0.0100783985108137,-165.453384399414,-36.8603858947754,-3.85710954666138,7680288.5,696704.625,0.15998812019825
6350827.5,10368698,962146.3125,240.594116210938,67.4087753295898,1.12669695226941e-05,0.0262952260673046,0.0262839607894421,0.0360393524169922,105.321189880371,1.06149971485138,0.85016143321991,518.268188476562,3395.37036132812,678758.875,3743.97119140625,598788.25,368.543548583984,190.359954833984,67.5527648925781,0.459923624992371,7395888.5,253.159973144531,693176.125,-36.8092346191406,-4.17763090133667,-165.285903930664,0,0,0,-1059.06176757812,2391.80981445312,-17482.33984375,167443.15625,243078112,243078112,-152598576,1094724.5,50.0869102478027,569970.75,7004718,5.43970918655396,3370.197265625,731.858093261719,-3196.66088867188,-640.544494628906,240.916122436523,240.916122436523,0,0.0093319658190012,0.00384105416014791,0.00078097329242155,-1.18953943252563,0.0100910440087318,0.0100910440087318,-165.285903930664,-36.8092346191406,-4.17763090133667,7682513,696707.75,0.159973442554474
6354501,10374695,961120.5625,240.622833251953,67.4413070678711,1.12695961433928e-05,0.0261704623699188,0.026159193366766,0.0360485017299652,104.829002380371,1.06157851219177,0.850161731243134,518.268188476562,3395.69165039062,678783.625,3743.85131835938,598782.75,368.580169677734,190.243408203125,67.5851898193359,0.459484666585922,7398087.5,253.173202514648,693178.0625,-36.7546043395996,-4.42624378204346,-165.143585205078,0,0,0,-1121.81286621094,2324.11865234375,-17526.63671875,167416.453125,241385184,241385184,-159499616,1092262.125,50.0369453430176,569867.0625,6999673,5.43663167953491,3368.68017578125,881.293518066406,-3157.02294921875,-639.663391113281,240.937026977539,240.937026977539,0,0.00914586428552866,0.00429473118856549,0.00087807618547231,-1.13423347473145,0.0101052355021238,0.0101052355021238,-165.143585205078,-36.7546043395996,-4.42624378204346,7684928.5,696711,0.159954220056534
