Pressure,Pressure Coefficient,Dynamic Pressure,Temperature,Density,Dynamic Viscosity,Effective Viscosity,Eddy Viscosity,Thermal Conductivity,Effective Thermal Conductivity,Prandtl Number,Effective Prandtl Number,R Gas Constant,Specific Heat Capacity,Static Enthalpy,Entropy,Total Energy,Speed Of Sound,Velocity (mwa),Density (mwa),Mach Number (mwa),Total Pressure (mwa),Total Temperature (mwa),Total Enthalpy (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Velocity Circumferential (mwa),Dp Dx,Dp Dy,Dp Dz,Vorticity X,Vorticity Y,Vorticity Z,Vorticity Magnitude,Q Criterion Normalized,Q Criterion Raw,Lambda 2 Criterion,Helicity,Turbulence Kinetic Energy,Turbulence Eddy Frequency,Turbulence Eddy Dissipation,Turbulence Intensity,Wall Shear,Wall Shear X,Wall Shear Y,Wall Shear Z,Wall Temperature,Wall Adjacent Temperature,Heat Flux,X,Y,Z,Angular Coordinate,Radial Angular Coordinate,Radial Angular Coordinate,Velocity Circumferential (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Relative Total Pressure (mwa),Rothalpy (mwa),mdot
6267020,10231870,905066.75,237.41845703125,68.3737411499023,1.11882072815206e-05,0.0315780118107796,0.031566821038723,0.0359164103865623,129.171127319336,1.08290696144104,0.850136041641235,518.268188476562,3476.35400390625,669549.1875,3710.42651367188,591125.4375,363.762817382812,207.369827270508,68.3814392089844,0.447760820388794,7222910.5,252.38313293457,682818.3125,-37.6689033508301,4.08288717269897,-158.25505065918,0,0,0,-551.455017089844,-16204.892578125,78890.9296875,161322.234375,-504222848,-504222848,180289824,71504.4609375,51.6152763366699,566335.25,8591410,5.47932958602905,4527.0888671875,-308.721801757812,-4435.2158203125,-800.364868164062,5.28861808776855,5.28861808776855,0,0.0108479522168636,-1.48047877246427e-06,5.40790688319248e-06,-1.560422539711,0.0108523545786738,0.0108523545786738,-158.25505065918,-37.6689033508301,4.08288717269897,7862985.5,690025.875,0.0886877477169037
6255858,10213645,750586.1875,237.893798828125,67.8794403076172,1.11837543954607e-05,0.0234029348939657,0.0233917515724897,0.035865381360054,95.292350769043,1.0772340297699,0.850178897380829,518.268188476562,3454.61352539062,671428.6875,3719.03369140625,590299.125,364.544342041016,191.119110107422,67.9616088867188,0.411045253276825,7068728.5,250.695129394531,682615.125,-36.9851951599121,3.15444469451904,-144.918487548828,0,0,0,-393.335998535156,2082.88256835938,-12659.294921875,165927.21875,-184891392,-184891392,84256808,864206.3125,48.4158897399902,564804.8125,6949280,5.31510400772095,3329.59692382812,-237.209289550781,-3243.64453125,-635.592956542969,238.315002441406,238.315002441406,0,0.00999978557229042,0.000490445178002119,9.80464028543793e-05,-1.52830910682678,0.0100121451541781,0.0100121451541781,-144.918487548828,-36.9851951599121,3.15444469451904,7609667,688811.875,0.160188317298889
6275943.5,10246438,743427.375,238.071701049805,68.048454284668,1.11986582851387e-05,0.0255402307957411,0.0255290325731039,0.0359157435595989,104.053970336914,1.07749497890472,0.850172340869904,518.268188476562,3455.68823242188,671628.125,3718.66040039062,590299.3125,364.779632568359,189.981384277344,68.1485900878906,0.407546281814575,7078699,250.727066040039,682680.5625,-36.7793922424316,0.198113262653351,-143.839385986328,0,0,0,-537.278991699219,2016.25537109375,-12673.7138671875,164606.75,-8032019.5,-8032019.5,-40894480,857698.25,48.3283920288086,562379.5,6822328.5,5.30955696105957,3311.5908203125,-121.876640319824,-3228.54663085938,-631.690612792969,238.460678100586,238.460678100586,0,0.0099750766530633,0.000980264972895384,0.000196007138583809,-1.47907471656799,0.0100236115977168,0.0100236115977168,-143.839385986328,-36.7793922424316,0.198113262653351,7615558,688819.4375,0.160239085555077
6289323.5,10268284,737833.375,238.193771362305,68.1573944091797,1.12085599539569e-05,0.0262836068868637,0.0262723974883556,0.0359489582479,107.101432800293,1.07762289047241,0.850170135498047,518.268188476562,3456.23266601562,671775.5,3718.47680664062,590300.5,364.943023681641,189.182540893555,68.2648468017578,0.405097484588623,7084405,250.744491577148,682728.3125,-36.6332626342773,-1.49010026454926,-143.038558959961,0,0,0,-656.100524902344,2044.72229003906,-12948.2333984375,164265.609375,80422880,80422880,-73178472,853752.9375,48.305233001709,561257.25,6755269.5,5.3078989982605,3297.7333984375,9.50174236297607,-3214.53295898438,-629.110900878906,238.546203613281,238.546203613281,0,0.00992617942392826,0.00146823923569173,0.000293839140795171,-1.43028521537781,0.0100346710532904,0.0100346710532904,-143.038558959961,-36.6332626342773,-1.49010026454926,7618461.5,688828,0.16015687584877
6298399.5,10283102,733991.125,238.276153564453,68.2313613891602,1.12152611109195e-05,0.0263695325702429,0.0263583157211542,0.0359714701771736,107.459266662598,1.07771253585815,0.850169718265533,518.268188476562,3456.61474609375,671874.4375,3718.34765625,590300.4375,365.05322265625,188.667572021484,68.3418807983398,0.403482854366302,7088315,250.758819580078,682759,-36.5324745178223,-2.51895546913147,-142.497467041016,0,0,0,-764.037719726562,2080.69799804688,-13172.24609375,164061.734375,133502792,133502792,-101398384,850203.75,48.2907981872559,560466.75,6714318,5.30697393417358,3289.6591796875,149.707626342773,-3201.384765625,-627.446716308594,238.603454589844,238.603454589844,0,0.00985342916101217,0.00195318600162864,0.000391564826713875,-1.38196992874146,0.0100455423817039,0.0100455423817039,-142.497467041016,-36.5324745178223,-2.51895546913147,7620785.5,688835.375,0.160088494420052
6304969,10293827,731249.25,238.335083007812,68.2854690551758,1.12201050797012e-05,0.0263146683573723,0.0263034477829933,0.0359878093004227,107.241401672363,1.0777862071991,0.850169777870178,518.268188476562,3456.92578125,671943.3125,3718.24194335938,590299.125,365.131591796875,188.324432373047,68.3974151611328,0.402362883090973,7091307,250.772232055664,682779.0625,-36.4545555114746,-3.17647886276245,-142.119186401367,0,0,0,-872.950744628906,2121.62939453125,-13309.984375,163925.59375,166133744,166133744,-117611472,847207.6875,48.2733345031738,559938.9375,6688404.5,5.30593156814575,3284.22485351562,294.192108154297,-3184.93872070312,-626.003112792969,238.646530151367,238.646530151367,0,0.00975725706666708,0.00243402924388647,0.000489107042085379,-1.33444476127625,0.0100563354790211,0.0100563354790211,-142.119186401367,-36.4545555114746,-3.17647886276245,7622961.5,688841.8125,0.160040467977524
6310035,10302098,729138.1875,238.380126953125,68.3276443481445,1.12238412839361e-05,0.0262115783989429,0.0262003540992737,0.0360004492104053,106.826690673828,1.07784974575043,0.850170016288757,518.268188476562,3457.19140625,671994.6875,3718.1513671875,590296.75,365.191070556641,188.081878662109,68.4404220581055,0.401529371738434,7093759.5,250.785186767578,682792.8125,-36.3879051208496,-3.61682367324829,-141.838302612305,0,0,0,-931.149658203125,2203.244140625,-13392.4189453125,163839.890625,179604000,179604000,-117730584,845027.625,48.2529563903809,559608.0625,6672269,5.30469560623169,3279.7783203125,440.598968505859,-3162.97192382812,-624.672790527344,238.681335449219,238.681335449219,0,0.00963802915066481,0.00290964357554913,0.000586527574341744,-1.28868246078491,0.0100669534876943,0.0100669534876943,-141.838302612305,-36.3879051208496,-3.61682367324829,7625065.5,688847.875,0.159998849034309
6314035,10308628,727676.5625,238.414413452148,68.3619003295898,1.1226784408791e-05,0.0261357668787241,0.0261245407164097,0.03601049259305,106.523490905762,1.07791304588318,0.850170314311981,518.268188476562,3457.45166015625,672030.6875,3718.06030273438,590294.4375,365.235900878906,187.926055908203,68.4750442504883,0.400936245918274,7095932,250.798690795898,682802.0625,-36.3336219787598,-3.95125508308411,-141.639129638672,0,0,0,-943.602966308594,2189.68896484375,-13444.345703125,163731.0625,184193520,184193520,-119630216,844428.5,48.2234268188477,559253.9375,6656822,5.30286598205566,3277.67163085938,587.703369140625,-3136.54760742188,-623.539611816406,238.710815429688,238.710815429688,0,0.00949611514806747,0.0033789889421314,0.000683829945046455,-1.24070572853088,0.0100783985108137,0.0100783985108137,-141.639129638672,-36.3336219787598,-3.95125508308411,7627258,688853.9375,0.159985989332199
6317665,10314555,726425.9375,238.444869995117,68.3934783935547,1.12294510472566e-05,0.0260759312659502,0.0260647013783455,0.0360196344554424,106.285972595215,1.07797741889954,0.850170493125916,518.268188476562,3457.71411132812,672061,3717.96728515625,590291.6875,365.275451660156,187.80290222168,68.5067596435547,0.400422602891922,7097993.5,250.812652587891,682808.9375,-36.2802352905273,-4.20878553390503,-141.468414306641,0,0,0,-1074.29284667969,2492.41137695312,-13496.869140625,163683.8125,185483264,185483264,-120450160,842415.25,48.1884956359863,559063.625,6648710,5.30070352554321,3274.59301757812,733.919555664062,-3102.31811523438,-622.337524414062,238.735534667969,238.735534667969,0,0.0093319658190012,0.00384105416014791,0.00078097329242155,-1.18953943252563,0.0100910440087318,0.0100910440087318,-141.468414306641,-36.2802352905273,-4.20878553390503,7629532,688859.875,0.159974291920662
6321171,10320279,725276.125,238.473739624023,68.4244003295898,1.12320258267573e-05,0.0260011944919825,0.0259899627417326,0.0360284969210625,105.98802947998,1.07804536819458,0.850170731544495,518.268188476562,3457.98950195312,672088.3125,3717.869140625,590288.3125,365.312774658203,187.700042724609,68.5379486083984,0.399944692850113,7100081.5,250.827865600586,682814.4375,-36.2242889404297,-4.41498136520386,-141.312133789062,0,0,0,-1144.41931152344,2417.3837890625,-13530.79296875,163655.140625,185881584,185881584,-121711632,840447.875,48.1450576782227,558940.375,6643123,5.29801082611084,3272.95751953125,879.432678222656,-3062.51342773438,-621.384582519531,238.757629394531,238.757629394531,0,0.00914586428552866,0.00429473118856549,0.00087807618547231,-1.13423347473145,0.0101052355021238,0.0101052355021238,-141.312133789062,-36.2242889404297,-4.41498136520386,7632014.5,688866.3125,0.159957692027092
