Pressure,Pressure Coefficient,Dynamic Pressure,Temperature,Density,Dynamic Viscosity,Effective Viscosity,Eddy Viscosity,Thermal Conductivity,Effective Thermal Conductivity,Prandtl Number,Effective Prandtl Number,R Gas Constant,Specific Heat Capacity,Static Enthalpy,Entropy,Total Energy,Speed Of Sound,Velocity (mwa),Density (mwa),Mach Number (mwa),Total Pressure (mwa),Total Temperature (mwa),Total Enthalpy (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Velocity Circumferential (mwa),Dp Dx,Dp Dy,Dp Dz,Vorticity X,Vorticity Y,Vorticity Z,Vorticity Magnitude,Q Criterion Normalized,Q Criterion Raw,Lambda 2 Criterion,Helicity,Turbulence Kinetic Energy,Turbulence Eddy Frequency,Turbulence Eddy Dissipation,Turbulence Intensity,Wall Shear,Wall Shear X,Wall Shear Y,Wall Shear Z,Wall Temperature,Wall Adjacent Temperature,Heat Flux,X,Y,Z,Angular Coordinate,Radial Angular Coordinate,Radial Angular Coordinate,Velocity Circumferential (mwa),Velocity Axial (mwa),Velocity Radial (mwa),Relative Total Pressure (mwa),Rothalpy (mwa),mdot
6264817,10228272,814617.3125,235.800003051758,69.512809753418,1.11783911052044e-05,0.0439726673066616,0.0439614914357662,0.0359903685748577,183.089202880859,1.09914875030518,0.850108444690704,518.268188476562,3538.86328125,663920.75,3686.7734375,585513.5625,361.176879882812,204.258575439453,69.5198516845703,0.424247592687607,7120361.5,250.465560913086,675663.0625,-36.436954498291,5.18063068389893,-148.57112121582,0,0,0,-436.256744384766,-12335.6875,60383.47265625,123276.0625,-353722880,-353722880,133783952,41302.3984375,54.2773818969727,437370.25,6338642.5,5.71693515777588,4375.41650390625,-299.571075439453,-4288.7978515625,-756.608520507812,5.25269365310669,5.25269365310669,0,0.0110599435865879,-1.8542074258221e-06,6.7595942709886e-06,-1.56090271472931,0.0110652167350054,0.0110652167350054,-148.57112121582,-36.436954498291,5.18063068389893,7836756.5,683427.0625,0.138741418719292
6255050,10212326,682913.125,236.239837646484,69.0430297851562,1.1173607163073e-05,0.0298765543848276,0.0298653803765774,0.0359379611909389,123.875778198242,1.09353375434875,0.85015457868576,518.268188476562,3517.1728515625,665681.9375,3694.84130859375,584955.3125,361.9140625,188.290771484375,69.1249389648438,0.391647040843964,6991373.5,248.796722412109,675669.5625,-36.3508987426758,3.82570886611938,-136.663269042969,0,0,0,-415.821350097656,1647.95629882812,-9640.6552734375,127903.71875,-176749120,-176749120,79895000,755046.875,48.9442367553711,436462.21875,5122456.5,5.37025785446167,3194.990234375,-236.180557250977,-3110.14135742188,-607.876342773438,236.594848632812,236.594848632812,0,0.0100000416859984,0.000490389706101269,9.79974574875087e-05,-1.51960647106171,0.0100155333057046,0.0100155333057046,-136.663269042969,-36.3508987426758,3.82570886611938,7590253,682275.8125,0.250448405742645
6275706.5,10246051,675394,236.424255371094,69.2181777954102,1.11891813503462e-05,0.0321752913296223,0.032164104282856,0.0359901934862137,133.471664428711,1.0937831401825,0.850148677825928,518.268188476562,3518.17529296875,665889.875,3694.48583984375,584960.9375,362.162109375,187.06999206543,69.3188629150391,0.387926071882248,7001964.5,248.824996948242,675748.1875,-36.1359596252441,0.985859990119934,-135.527221679688,0,0,0,-542.757019042969,1687.32360839844,-10099.75,127242.9765625,-10112286,-10112286,-15000264,758058.6875,48.9418716430664,434431.15625,5020796.5,5.37076044082642,3175.42602539062,-127.832466125488,-3093.53955078125,-603.902893066406,236.740951538086,236.740951538086,0,0.00997585710138083,0.000980200944468379,0.000195856046047993,-1.46926891803741,0.0100277122110128,0.0100277122110128,-135.527221679688,-36.1359596252441,0.985859990119934,7595521,682281.1875,0.250487715005875
6290608.5,10270381,668969.5,236.561798095703,69.3396072387695,1.12003735921462e-05,0.0330071598291397,0.0329959578812122,0.0360273756086826,136.944580078125,1.09389805793762,0.850146174430847,518.268188476562,3518.65307617188,666058.875,3694.31616210938,584967.125,362.350006103516,186.120452880859,69.4490509033203,0.385049343109131,7008379,248.83869934082,675810.875,-35.9837303161621,-0.85695093870163,-134.590866088867,0,0,0,-656.336059570312,1746.89807128906,-10416.818359375,127017.2578125,77760832,77760832,-45640148,757689.3125,48.9716911315918,433431.09375,4962045.5,5.37288093566895,3162.06201171875,-6.46426820755005,-3080.04125976562,-601.768127441406,236.825897216797,236.825897216797,0,0.00992779992520809,0.00146824063267559,0.000293687422527,-1.41750955581665,0.010040232911706,0.010040232911706,-134.590866088867,-35.9837303161621,-0.85695093870163,7597788.5,682288.125,0.250271290540695
6302241,10289373,663717.125,236.669158935547,69.433479309082,1.12090738184634e-05,0.0330762378871441,0.033065028488636,0.0360562540590763,137.238739013672,1.09397792816162,0.85014545917511,518.268188476562,3518.99169921875,666192.5625,3694.19506835938,584971.3125,362.497589111328,185.388732910156,69.5466461181641,0.382811307907104,7013160.5,248.849472045898,675858.75,-35.8724822998047,-2.06535887718201,-133.836959838867,0,0,0,-642.522827148438,1821.52648925781,-10730.251953125,126806.671875,128832080,128832080,-71993000,757740.25,48.9865455627441,432508.59375,4912972,5.37389230728149,3156.26318359375,123.457725524902,-3069.61987304688,-600.940612792969,236.88037109375,236.88037109375,0,0.00985591486096382,0.00195337156765163,0.000391316338209435,-1.36265158653259,0.0100536569952965,0.0100536569952965,-133.836959838867,-35.8724822998047,-2.06535887718201,7599499,682293.875,0.250006198883057
6307785,10298425,661783.3125,236.717559814453,69.4798965454102,1.12131956484518e-05,0.0328649543225765,0.0328537411987782,0.036070104688406,136.363784790039,1.09404003620148,0.850145280361176,518.268188476562,3519.24633789062,666247.1875,3694.10083007812,584975,362.563934326172,185.110153198242,69.59423828125,0.381885260343552,7015840,248.8603515625,675879.75,-35.83154296875,-2.82240271568298,-133.517776489258,0,0,0,-736.6201171875,1811.48022460938,-10879.9912109375,126762.25,152426816,152426816,-80217904,758249,48.9764175415039,432248.65625,4898992.5,5.37331771850586,3152.99169921875,258.696197509766,-3056.3369140625,-600.445922851562,236.918334960938,236.918334960938,0,0.00976068526506424,0.0024344774428755,0.000488847610540688,-1.31390154361725,0.0100657800212502,0.0100657800212502,-133.517776489258,-35.83154296875,-2.82240271568298,7601194.5,682299.5,0.250019609928131
6312573,10306242,659885.8125,236.759872436523,69.5199203491211,1.12167645056616e-05,0.0325551629066467,0.0325439460575581,0.0360820889472961,135.081741333008,1.09409356117249,0.850145757198334,518.268188476562,3519.46630859375,666295.5625,3694.02172851562,584975.625,362.621459960938,184.880294799805,69.6348266601562,0.381082952022552,7018183,248.871963500977,675896.125,-35.7826232910156,-3.32061791419983,-133.243133544922,0,0,0,-739.799133300781,1928.52722167969,-10962.9130859375,126685.890625,158591200,158591200,-84811080,755883.125,48.961856842041,431944.1875,4884998.5,5.37251758575439,3151.67724609375,397.303192138672,-3038.958984375,-600.229553222656,236.946990966797,236.946990966797,0,0.00964229740202427,0.00291042821481824,0.000586259295232594,-1.26792871952057,0.0100774029269814,0.0100774029269814,-133.243133544922,-35.7826232910156,-3.32061791419983,7602992.5,682305.5,0.249950304627419
6316148,10312078,658658.125,236.790313720703,69.550537109375,1.12194202301907e-05,0.0322694964706898,0.0322582796216011,0.0360910817980766,133.899887084961,1.09414374828339,0.850146174430847,518.268188476562,3519.669921875,666327.8125,3693.947265625,584976,362.662750244141,184.732604980469,69.6656951904297,0.380517572164536,7020006.5,248.882339477539,675906.5625,-35.7522048950195,-3.65912842750549,-133.047653198242,0,0,0,-799.079895019531,1900.82336425781,-11042.4716796875,126666.84375,164217456,164217456,-88709328,757309.9375,48.9280815124512,431843.53125,4879246.5,5.37047624588013,3151.37915039062,538.108032226562,-3016.09936523438,-600.13134765625,236.970306396484,236.970306396484,0,0.0095010157674551,0.00338011444546282,0.000683582504279912,-1.22169291973114,0.010089248418808,0.010089248418808,-133.047653198242,-35.7522048950195,-3.65912842750549,7604620,682310.25,0.249950513243675
6319088.5,10316879,657769.3125,236.814483642578,69.5763702392578,1.12216011984856e-05,0.0320248566567898,0.0320136360824108,0.036098524928093,132.889099121094,1.09419441223145,0.850146532058716,518.268188476562,3519.87377929688,666351.25,3693.87255859375,584975.75,362.695251464844,184.638916015625,69.6914749145508,0.380094319581985,7021639.5,248.893478393555,675913.75,-35.724422454834,-3.89607286453247,-132.902908325195,0,0,0,-880.355224609375,1849.66479492188,-11103.177734375,126651.609375,170695536,170695536,-94494288,757837.25,48.8833541870117,431741.28125,4874828.5,5.36769533157349,3151.68920898438,680.1044921875,-2987.060546875,-599.977844238281,236.990203857422,236.990203857422,0,0.00933723617345095,0.00384248816408217,0.000780762522481382,-1.17327642440796,0.0101017504930496,0.0101017504930496,-132.902908325195,-35.724422454834,-3.89607286453247,7606359,682315.3125,0.249973028898239
6321749,10321223,656982.5625,236.836029052734,69.6001281738281,1.12235748019884e-05,0.0318291299045086,0.0318179093301296,0.0361052975058556,132.081832885742,1.09424579143524,0.850146889686584,518.268188476562,3520.07934570312,666371,3693.7978515625,584974.625,362.723907470703,184.569808959961,69.7149810791016,0.379728227853775,7023177.5,248.905227661133,675918.875,-35.6932945251465,-4.04390811920166,-132.781021118164,0,0,0,-1008.89025878906,1765.09448242188,-11158.73828125,126567.390625,190956976,190956976,-97746648,759032.375,48.831298828125,431643.5625,4871307,5.36446380615234,3154.80517578125,823.90625,-2953.50268554688,-599.994812011719,237.009384155273,237.009384155273,0,0.00915112532675266,0.00429637590423226,0.000877876183949411,-1.12254798412323,0.010114804841578,0.010114804841578,-132.781021118164,-35.6932945251465,-4.04390811920166,7608192.5,682320.5,0.250001609325409
