Mdot,Diameter,RPM,Diameter_value,RPM_value,Omega,Mean Radius,Total Pressure drop,Static Pressure drop,Total Temperature drop,Static Temperature drop,Total Enthalpy drop,Inlet Total Pressure,Outlet Total Pressure,Inlet Total Temperature,Outlet Total Temperature,Inlet Total Enthalpy,Outlet Total Enthalpy,Inlet Static Pressure,Outlet Static Pressure,Inlet Static Temperature,Outlet Static Temperature,Inlet Static Enthalpy,Outlet Static Enthalpy,Inlet Density,Outlet Density,Inlet Absolute Velocity,Outlet Absolute Velocity,Inlet Relative Velocity,Outlet Relative Velocity,Blade Speed,Inlet Blade Speed Ratio,Outlet Blade Speed Ratio,Inlet Mach Number,Outlet Mach Number,Torque_t,Torque_f,Torque_d,Torque_c,Torque_e,Power_t,Power_f,Power_d,Power_e,Fluid Power,Wall Shear Stress,Shaft_efficiency_t,Shaft_efficiency_f,Shaft_efficiency_d,Angular Momentum,Efficiency Total-to-Static,Efficiency Total-to-Total,Torque Force Ratio X,Torque Force Ratio Y,Torque Force Ratio Z,Ns,Ds,pi1,pi2,pi3,pi4
0.0400002151727676,d2,5k,0.002,5000.0,523.5987755982989,0.013855687499996685,2930761.5,3536419.0,13.369705200195,21.07063293457,1401.8125,10520097,7589335.5,266.980072021484,253.61036682128898,699143.875,697742.0625,9781128,6244709.0,261.242431640625,240.171798706055,691701.6875,679129.3125,97.0731964111328,66.4089736938477,131.300445556641,196.61882019043,124.04562454657008,189.3639991803591,7.254821010070919,0.05525359018634328,0.03689789717507435,0.302635133266449,0.520315051078796,0.35794335603714006,0.2662301280486612,0.125837296247482,0.10709116263269096,-0.01257381631935827,187.4187029545925,139.39776907365732,65.88825423978199,-6.583634829413899,56.07280163187528,3098.11303710938,3.3424173128537245,2.486013985689899,1.1750483714430098,-164.5899853532809,0.028477765131799546,0.044005853483933405,-0.09662683168309917,0.4416777333826812,-0.2677730900327371,0.046394091506342314,8.353126507840871,0.03698197909441029,6.658501974194389,143.40614193625115,3.485156528793195e-07
0.040000282227993,d2,10k,0.002,10000.0,1047.1975511965977,0.013855687499996685,2895662.5,3528694.0,13.817169189453011,21.45783996582,2889.9375,10406929,7511266.5,267.394287109375,253.577117919922,699601.375,696711.4375,9773403,6244709.0,261.615997314453,240.158157348633,693172.625,679106.4375,96.63843536376949,66.40158843994139,131.89035034179702,196.497634887695,117.38070832165518,181.98799286755317,14.509642020141838,0.11001291589975878,0.07384130617365743,0.28098976612091103,0.505980849266052,0.353546142578125,0.2607391567926652,0.121852174401283,0.11038826006532404,-0.00850808779716515,370.23265474281567,273.0454064943447,127.60329864100432,-8.909648706557002,115.59831562126051,3090.58422851562,3.20275129229239,2.3620189016329145,1.103850847265597,-222.73964607984317,0.059825108900016834,0.09083351097673327,-0.09670912386509188,0.45897416014114145,-0.26461630430660804,0.054052883032751645,9.986736821697317,0.018574208723971353,3.4317454276246644,35.58153381234918,1.748858862140893e-07
0.0399999991059303,d2,15k,0.002,15000.0,1570.7963267948967,0.013855687499996685,2869456.5,3523439.0,14.292434692383011,21.870147705077983,4470.75,10305012,7435555.5,267.77581787109403,253.48338317871102,699988.8125,695518.0625,9768148,6244709.0,261.962615966797,240.092468261719,694503.9375,678906.5625,96.2625198364258,66.42873382568361,132.404800415039,196.282821655273,110.64033738482625,174.51835862506024,21.764463030212756,0.16437820201374415,0.11088317788928662,0.259284645318985,0.49154523015022294,0.349276721477509,0.25575249519217785,0.11818599700927698,0.11384671134782214,-0.00443734341477466,548.6425911318353,401.7350800165024,185.64612998076493,-6.970162736655559,178.8299960028379,3080.59423828125,3.0679561784653213,2.246463619057103,1.0381151603773389,-174.2540723112711,0.0941921948180098,0.1403912776486105,-0.09680126259006865,0.47114770530423583,-0.26180169019813293,0.058564705804155404,11.116083332787644,0.012431074021096587,2.359524441165322,15.732093345508027,1.1696350617635138e-07
0.0399999991059303,d2,20k,0.002,20000.0,2094.3951023931954,0.013855687499996685,2852046.0,3520821.0,14.794876098633011,22.307632446288977,6143.1875,10214100,7362054.0,268.12518310546903,253.33030700683602,700307.6875,694164.5,9765530,6244709.0,262.283172607422,239.975540161133,695697.5,678532.0,95.9455413818359,66.49008941650389,132.841781616211,195.977340698242,103.82249757592731,166.9580566579583,29.019284040283676,0.21844997625914395,0.14807469035395474,0.237481936812401,0.476980328559875,0.345132112503052,0.251254795566804,0.114829480648041,0.11732623621339526,-0.0003501529744024369,722.8430061050094,526.2268132879179,240.49830187961126,-0.7333586746768738,245.7274945075622,3068.24267578125,2.9416447986562777,2.1415056314413503,0.9787195460628847,-18.333967276717885,0.13154717403695412,0.19231020103584623,-0.09690331892811788,0.47696586673586117,-0.25932405228260486,0.06162839783015138,12.01541916963944,0.009354107228247133,1.8237293725353916,8.824667484200859,8.796703540104051e-08
0.0399999991059303,d2,25k,0.002,25000.0,2617.993877991494,0.013855687499996685,2843267.5,3520800.0,15.323974609375028,22.769561767577954,7908.3125,10133854,7290586.5,268.44281005859403,253.118835449219,700561.875,692653.5625,9765509,6244709.0,262.57794189453097,239.808380126953,696756.625,677985.9375,95.6856231689453,66.5851974487305,133.202301025391,195.580978393555,96.9281959750364,159.3068733432004,36.27410505035459,0.2723234116161404,0.1854684711585937,0.215562760829926,0.4622499048709871,0.341103345155716,0.2472339689931407,0.111777901649475,0.12083011178471716,0.0037615743766996135,893.0064693800841,647.2570172555812,292.63386221306087,9.847778689809259,316.3324929294174,3053.44873046875,2.8229995000208175,2.0461287781777204,0.9250831601366845,246.19447274810682,0.17186951639447978,0.2462528888055023,-0.09701537464397544,0.4756273963668372,-0.2571706051833319,0.06382817188863314,12.781222197543535,0.007503613206956204,1.5025551389731844,5.645697791947985,7.054104135166922e-08
0.039991058409214,d2,30k,0.002,30000.0,3141.5926535897934,0.013855687499996685,2852461.5,3532430.0,15.925811767578011,23.303070068358977,9797.3125,10072700,7220238.5,268.723876953125,252.798065185547,700637.0625,690839.75,9777139,6244709.0,262.856079101562,239.553009033203,697573.5625,677138.4375,95.58441162109379,66.7394180297852,133.343124389648,194.976226806641,89.8141983292225,151.4473007462155,43.52892606042551,0.3264429737916419,0.22325247940916093,0.19322687387466397,0.447136521339417,0.3376583158969881,0.2439125916266179,0.10847623646259301,0.12471537199233007,0.007939718637223495,1060.7848846454795,766.2740059722302,340.7881475599515,24.943361742271296,391.8048964408224,3046.04614257812,2.7074314136492643,1.9557540320019124,0.8697904254277833,623.7234705577166,0.21546017505442733,0.30202330286584805,-0.09714457479256415,0.4621086295246368,-0.2563826533503185,0.06525406417898932,13.478665699139778,0.006258233000075966,1.2926801040924074,3.9374660667755705,5.8864399512338177e-08
0.0399889536201954,d2,35k,0.002,35000.0,3665.1914291880917,0.013855687499996685,2858625.5,3535317.0,16.492813110350966,23.796401977538977,11731.0,10011795,7153169.5,268.976165771484,252.483352661133,700796.8125,689065.8125,9780026,6244709.0,263.094573974609,239.29817199707,698385.4375,676289.625,95.4119415283203,66.8954010009766,133.58401489257798,194.410049438477,82.80026782208157,143.62630236798057,50.783747070496425,0.3801633534621215,0.26121976316130435,0.17127886414527901,0.432126849889755,0.33377549052238503,0.24082318399449623,0.10616529732942599,0.12799069952600783,0.012059786629158074,1223.3510671356967,882.6630699264144,389.11613784901755,44.20142659102732,469.1104149185123,3024.2451171875,2.607810503094887,1.8815678395879125,0.8294766551209691,1105.3409151647447,0.261049246657947,0.3583547150922216,-0.09727379199708852,0.4478045494217611,-0.25466946636060445,0.0665677747825674,14.087151351866103,0.005373613400519552,1.1371704330930805,2.9043239396368263,5.054091429375567e-08
0.0399863570928574,d2,40k,0.002,40000.0,4188.790204786391,0.013855687499996685,2873095.5,3540649.0,17.079772949219006,24.30790710449199,13744.125,9961346,7088250.5,269.195343017578,252.115570068359,700899.4375,687155.3125,9785358,6244709.0,263.30596923828097,238.99806213378898,699063.0,675283.125,95.29364013671879,67.0836181640625,133.749771118164,193.757675170898,75.71120303759665,135.71910709033065,58.03856808056735,0.43393396187042427,0.29954203377686184,0.149335935711861,0.416965454816818,0.330009788274765,0.23822818452566374,0.10417778044939,0.13120196126100678,0.01619631648586406,1382.3417686089665,997.8878858451451,436.378866302792,67.84297184960771,549.5774901788687,2999.7275390625,2.5152809081737706,1.8157364587846685,0.7940260911355113,1696.6529782160678,0.30893297720892193,0.4151862624947961,-0.09741162357277298,0.42792765741101063,-0.2532662088401194,0.06759658388213947,14.647495994658314,0.004707443190078079,1.0200553239787158,2.237653183307984,4.42805268088357e-08
0.0399845317006111,d2,45k,0.002,45000.0,4712.38898038469,0.013855687499996685,2895765.0,3548388.0,17.68379211425801,24.835540771483977,15831.8125,9921325,7025560.0,269.381134033203,251.697341918945,700946.8125,685115.0,9793097,6244709.0,263.48980712890597,238.654266357422,699605.8125,674123.0625,95.2288284301758,67.30381011962889,133.840759277344,193.027053833008,68.54737018670573,127.73366474236974,65.29338909063827,0.48784383354653355,0.33826029975634936,0.127476811408997,0.401666969060898,0.32635661959648105,0.23613805533878857,0.10253117978572801,0.134332630735569,0.020352767840797446,1537.9193378620553,1112.7743698279774,483.1668017681061,95.91015889330178,633.0276087843811,2972.29565429688,2.4294664506266335,1.7578607226387268,0.7632633949346119,2398.681560445435,0.35877864765069806,0.47200440666938365,-0.0975574537705337,0.40396348135752635,-0.2521568487847016,0.06841556843764672,15.169768337305506,0.004187050650654402,0.928393782840231,1.7831852329224547,3.9395490926521424e-08
0.0399831049144268,d2,50k,0.002,50000.0,5235.987755982988,0.013855687499996685,2926535.0,3558390.0,18.302261352538977,25.37641906738301,17989.0625,9891628,6965093.0,269.533294677734,251.231033325195,700941.875,682952.8125,9803099,6244709.0,263.6455078125,238.269088745117,700014.75,672815.6875,95.21582794189449,67.555305480957,133.85900878906202,192.219833374023,61.31079868835283,119.67162327331383,72.54821010070918,0.5419748043632405,0.37742312448863824,0.105860598385334,0.38622897863388106,0.322809338569641,0.23456564114551787,0.101237304508686,0.13736826875269295,0.024528486904539543,1690.2257442676073,1228.182825012231,530.0772868562012,128.4308571049581,719.2585732496808,2941.75341796875,2.349955644784325,1.70756786319999,0.7369773633163106,3212.128157126121,0.4102167610892446,0.5283217288268913,-0.09771065991529122,0.3774496610354013,-0.2513320150083378,0.06907579763027169,15.661253665319414,0.003768725618434513,0.8544666863090198,1.459927128926465,3.5473430663471134e-08
